region;year;men;women;totalbirth
ANDALUC�A;2005;47230;44577;91807
ARAG�N;2005;6024;5604;11628
ASTURIAS (PRINCIPADO DE);2005;3849;3633;7482
BALEARS (ILLES);2005;5719;5206;10925
CANARIAS;2005;10390;9737;20127
CANTABRIA;2005;2682;2585;5267
CASTILLA Y LE�N;2005;10043;9382;19425
CASTILLA - LA MANCHA;2005;9829;9178;19007
CATALU�A;2005;41331;38435;79766
COMUNIDAD VALENCIANA;2005;26091;24537;50628
EXTREMADURA;2005;5130;4863;9993
GALICIA;2005;10867;10230;21097
MADRID (COMUNIDAD DE);2005;35407;33960;69367
MURCIA (REGION DE);2005;9004;8326;17330
NAVARRA (COMUNIDAD FORAL DE);2005;3099;3050;6149
PAIS VASCO;2005;10102;9596;19698
RIOJA (LA);2005;1543;1495;3038
CEUTA;2005;543;522;1065
MELILLA;2005;504;508;1012
RESIDENTES EN EL EXTRANJERO;2005;814;814;1628
ANDALUC�A;2006;49229;746;49975
ARAG�N;2006;6354;49229;55583
ASTURIAS (PRINCIPADO DE);2006;3924;46075;49999
BALEARS (ILLES);2006;6005;6354;12359
CANARIAS;2006;10624;5926;16550
CANTABRIA;2006;2694;3924;6618
CASTILLA Y LE�N;2006;10210;3672;13882
CASTILLA - LA MANCHA;2006;10561;5670;16231
CATALU�A;2006;42554;10624;53178
COMUNIDAD VALENCIANA;2006;27236;10044;37280
EXTREMADURA;2006;5167;2694;7861
GALICIA;2006;11075;2535;13610
MADRID (COMUNIDAD DE);2006;37017;10210;47227
MURCIA (REGION DE);2006;9380;9565;18945
NAVARRA (COMUNIDAD FORAL DE);2006;3289;10561;13850
PAIS VASCO;2006;10328;9828;20156
RIOJA (LA);2006;1587;42554;44141
CEUTA;2006;500;39746;40246
MELILLA;2006;581;27236;27817
RESIDENTES EN EL EXTRANJERO;2006;869;25520;26389
ANDALUC�A;2007;49486;5167;54653
ARAG�N;2007;6615;4951;11566
ASTURIAS (PRINCIPADO DE);2007;4032;11075;15107
BALEARS (ILLES);2007;6147;10317;16464
CANARIAS;2007;10207;37017;47224
CANTABRIA;2007;2748;34895;37643
CASTILLA Y LE�N;2007;10459;9380;19839
CASTILLA - LA MANCHA;2007;10684;8711;19395
CATALU�A;2007;43292;3289;46581
COMUNIDAD VALENCIANA;2007;28120;3262;31382
EXTREMADURA;2007;5189;10328;15517
GALICIA;2007;11216;9698;20914
MADRID (COMUNIDAD DE);2007;38489;1587;40076
MURCIA (REGION DE);2007;9582;1483;11065
NAVARRA (COMUNIDAD FORAL DE);2007;3420;500;3920
PAIS VASCO;2007;10625;541;11166
RIOJA (LA);2007;1696;581;2277
CEUTA;2007;576;541;1117
MELILLA;2007;580;869;1449
RESIDENTES EN EL EXTRANJERO;2007;732;793;1525
ANDALUC�A;2008;52057;49486;101543
ARAG�N;2008;7086;46576;53662
ASTURIAS (PRINCIPADO DE);2008;4141;6615;10756
BALEARS (ILLES);2008;6611;6244;12855
CANARIAS;2008;10657;4032;14689
CANTABRIA;2008;3021;3801;6822
CASTILLA Y LE�N;2008;10946;6147;17093
CASTILLA - LA MANCHA;2008;11854;5770;17624
CATALU�A;2008;46108;10207;56315
COMUNIDAD VALENCIANA;2008;29545;9533;39078
EXTREMADURA;2008;5588;2748;8336
GALICIA;2008;11981;2631;14612
MADRID (COMUNIDAD DE);2008;40480;10459;50939
MURCIA (REGION DE);2008;9949;9618;19567
NAVARRA (COMUNIDAD FORAL DE);2008;3650;10684;14334
PAIS VASCO;2008;10981;10191;21172
RIOJA (LA);2008;1814;43292;45106
CEUTA;2008;572;40745;41317
MELILLA;2008;639;28120;28759
RESIDENTES EN EL EXTRANJERO;2008;697;26358;27055
ANDALUC�A;2008;48751;5189;53940
ARAG�N;2008;6777;4792;11569
ASTURIAS (PRINCIPADO DE);2008;4209;11216;15425
BALEARS (ILLES);2008;6123;10536;16659
CANARIAS;2008;9778;38489;48267
CANTABRIA;2008;2906;36348;39254
CASTILLA Y LE�N;2008;10532;9582;20114
CASTILLA - LA MANCHA;2008;11558;9020;20578
CATALU�A;2008;44283;3420;47703
COMUNIDAD VALENCIANA;2008;27153;3175;30328
EXTREMADURA;2008;5361;10625;15986
GALICIA;2008;11572;9969;21541
MURCIA (REGION DE);2008;9573;1576;11149
NAVARRA (COMUNIDAD FORAL DE);2009;3508;576;4084
PAIS VASCO;2009;10888;560;11448
RIOJA (LA);2009;1722;580;2302
CEUTA;2009;605;532;1137
MELILLA;2009;681;732;1413
RESIDENTES EN EL EXTRANJERO;2009;683;657;1340
ANDALUC�A;2009;47491;52057;99548
ARAG�N;2009;6596;48236;54832
ASTURIAS (PRINCIPADO DE);2009;3947;7086;11033
BALEARS (ILLES);2009;6106;6589;12695
CANARIAS;2009;9404;4141;13545
CANTABRIA;2009;2865;4080;6945
CASTILLA Y LE�N;2009;10577;6611;17188
CASTILLA - LA MANCHA;2009;11241;6102;17343
CATALU�A;2009;43763;10657;54420
COMUNIDAD VALENCIANA;2009;26818;10015;36833
EXTREMADURA;2009;5206;3021;8227
GALICIA;2009;11500;2865;14365
MADRID (COMUNIDAD DE);2009;37851;10946;48797
MURCIA (REGION DE);2009;9320;10365;19685
NAVARRA (COMUNIDAD FORAL DE);2009;3474;11854;15328
